tweets,labels
"1m older people say they often feel lonely. Regular physical activity has been found to prevent and manage chronic conditions inc dementia & depression. This scheme combines exercise and comradeship. Simple, fabulous idea. We love it! @AgeBetterSheffield  https://www.theguardian.com/social-care-network/2018/apr/24/care-home-residents-get-active-oomph-wellness?CMP=share_btn_twÂ â¦",1
@gillyhTTfan Looking forward to seeing them  Are you planning on going back next year ?,0
YOU GUYS! You can listen to/download my original soundtrack album for THE BATEMAN LECTURES ON DEPRESSION right now on Bandcamp. It's not even a little depressing! #indiefilm #indiefilmmaker https://scottbateman.bandcamp.com/album/the-bateman-lectures-on-depression-original-soundtrackÂ â¦ pic.twitter.com/q3eNmbbqpa,1
During classes: bad depressionClasses over: bad depression,1
Getting up after a depression nap  https://twitter.com/kanyewest/status/989153701095915522Â â¦,1
Mmmm. I think that was my first beer in six months. Worth waiting for ,0
@JessikaSays yah basically she is right ,0
@Zac_Efron GOOO LAKERRRSSS ,0
I love baby seals ,0
"@BekahIsSpankin lol, just nick please! ",0
@cuzyourehotshot @lovelyzband @infinitens97 it's not depression it's anxiety and i will let her know <Emoji: Face with tears of joy>,1
Think the sun has melted everyone away like ice lollies.lol ,0
Just heard my bootleg remix of &quot;if u seek amy&quot; on kiss fm here in Chicago ,0
Howitzer a.k.a &quot;Howie&quot; is playing with Sam in the Sun   http://apps.facebook.com/dogbook/profile/view/4917440,0
"@TasnimaKTastic @ShafaYahya Shafa, not bein insensitive to it however, every speech needn't be on the same topic. There's a place n time for it n show me 1 person who doesnt go through depression in today's times? We dont scream bout it? Importance of mental health shd be highlighted bt not in every forum",1
"@Skiingfreak77 and by the way it's short stack, not sway sway  sway sway baby is a song of theirs",0
The Third Great Depression & rise of the far-right: experiences In #Turkey the Islamist right garners support in rural areas by promoting social welfare and subsidy programmes.The left needs to put farmers and workers at the centre of class-based struggle https://www.opendemocracy.net/burak-g-rel/third-great-depression-and-rise-of-far-right-experiences-from-turkeyÂ â¦,1
@NateCow oh cool! That'll be sweet then if you get that job ,0
"@gisher I'm just the retweeter  I personally believe the Tweet Effect, and the weekly purge, will take care of these things for me...",0
@Toothology oh crap! i'm sure they won't dare charge for customer care in India though ,0
But I can't wait for that. Depression tends to creep back when I wait and have too much time on my hands.,1
Laying in the sun waiting for M ,0
@courgamm hahahaha i luhhh you! &lt;3  ttyt.,0
"@rankfowler yeah, I'm talking about you! No, not really. But maybe. ",0
"Aaaaaand here comes the depression, I was waiting for you",1
@uliwitness that depends on how well you pull it off! ,0
Good Snacks @cfsmtb Better to burn em off the next day on a bicycling ride. ,0
checking out this twitter world... ,0
@rascalflatts when are you guys coming back to california? We miss you out here! ,0
Back on board. @sammutimer's bub to be has taken my tweetstream by storm this evening! Reading back through the tweets! ,0
@TeamCyrus nm do you like my new display pic? someone made it for me  xxxxxxxx,0
Running is my way of processing things that happen. It's my way of coping with depression andâ¦  https://www.instagram.com/p/BiAjCkInrG4/Â ,1
OF COURSE HE IS SUFFERING FROM DEPRESSION OF LOSING HIS WIFE. HE NEVER SUFFERED ANY ILL FEELING OF INNOCENT CIVILIAN DEATHS WHEN HE ATTACKED KUWAIT & HIS SON ATTACKED IRAQ KILLING INNOCENT CIVILIANS &&' SACRIFICING AMERICAN SOLDIERS FOR SUPPORTING ISRALE!! https://www.cnn.com/videos/health/2018/04/24/george-hw-bush-health-broken-heart-syndrome-gupta-newday.cnnÂ â¦,1
@herstorygirl I like that name ,0
Going to work hungover is awesome! Lol good thing there coffee and swiss rolls ,0
"@__xkul0tx__  you're wonderful &amp; I hope that feeling never ends  Morning is good. It's early, fam sleeping, me- hungry...",0
"Like I'm all fun here and talking about ships, sometimes opening up about depression, but generally here I'm silly, joke around, or talking about not so serious and maybe childish matters; but that's the way of me relieving my stress, that is not me, real me is too complicated",1
"thanks @daniecetracey and @JunkFoodTees for puttin me in ur #followfriday  follow them, guys!",0
Crying? I'm entering a deep depression. Can't eat. Can't sleep. That's worse than any pain <Emoji: Loudly crying face>  https://twitter.com/tsunamislim/status/989018909163614208Â â¦,1
@DeLoresPressley We need to coordinate a massive TweetUp for all speakers on twitter (maybe motivation for more to get on board!) ,0
"I'm not sure how to use this place ... But.. I love miley, the most of the world ! And Miley should know that. ",0
@danielboys Have fun tonight  And congrats on the album being out ,0
"Does anyone else live an area resistent to change?  So, hard to get some people to join the &quot;Green&quot; movement   Very frustrating!",0
My daughter and I were at the park and I actually found a 4 leaf clover!!!!! bring on the luck ,0
@FirstFrontierBC He is probably living on the street eating in soup kitchens with some sort of depression disorder...,1
me: wow summer depression won't hit me this year i can FEEL ITsummer depression:  pic.twitter.com/8xSQZsnnAT,1
@jordanknight so hopefully you remember me but then again who can forget a band camp girl lookalike  xoxo,0
"@Isa_Buttercup I'm in the same boat! Am currenlty looking for flats, dread tellin the mother!! Good luck though, hope it goes well  x",0
 omggggg. )) LATER? practice?. tiring.,0
"@Nishecup Depression really is big, once it climbs on your back. It can simply grow bigger and bigger,until you fall, meaning that everything is over for YOU only.However there is still hope, YOU can make it but it will be difficult alone; it will be all worth it despite the long journey",1
"@BWalker25 It was a blast!  Next time, we need to make it TWO bottles of Patron! ",0
i cooked. depression where?,1
Some lassies r the reason sm folk have depression anxiety n insecurity's it's actual vile<Emoji: Face vomiting>,1
Antidepressant of The Day#Depression #Joy #Antidepressant #Medicine #Hope #Rest #Faith #God #Inspire #Encourage #Peace #AntidepressantOfTheDay #Happy pic.twitter.com/YyWEOAaUAE,1
How exercising can slash the risk of depression  https://nyp.st/2vGw2KqÂ  via @nypost,1
Well I watched the episode so I'm gonna go now and go deeper into my depression,1
@meganweller i've decided on the angel wings tattoo... guna book it 2moro! u guna b brave &amp; get ur one dude? i'll hold ur hand  xoxo,0
"Off to Saigon in the morning, n Hanoi from there..... ",0
Thank you Melissa for all of your support in life and for believing in the things I do. I would be lost most of the time if not for you. ,0
"Happy Birthday, Ate Judy! Boardmates' Dinner downstairs ",0
@Dameunited YES!!! lets do that. that will be 'literally' right before we die since im sure thats gonna finish us off ,0
@charleehissey When I was off with depression I had to have medical proof ( ie what medication I was on ),1
"@What_Amy_Said Phillip Schofield! The Schofe! He's a legend, Amy, you need to follow him  he's on my page.",0
@kirstyfionagh Random follower  your tweets where cool,0
"Anxiety told meto keep moving,but my mindwon't stopworrying.Weeping,losing my breath,I couldn't think straight.Depressioncrept in;I'm disinterestedto live.Confusedand tiredlike the restless skythat keepschanging clouds day and night.#inkmine #prompts https://twitter.com/whenfridzspeaks/status/989068335982829570Â â¦",1
distance does not make the heart grow fonder it makes the heart grow depression,1
why hasn't the depression groan been added to the diagnostic criteria i mean 24/7 i'm justughuGHuuuughhhhhhhhhhhUUUUUUUUGHuuuuuuuUUUUUUUUuuuugH,1
had a fun night at volleyball... beautiful weather ,0
@ismail Yeah. Its 1-0. We're away. The underdogs. Support Kenya ,0
HOLD THIS PHAT L DEPRESSION  https://twitter.com/pvlkvsky/status/989183405240868865Â â¦,1
Could 'one puff' of cannabis easeÂ depression?  http://appledank.com/could-one-puff-of-cannabis-ease-depression/Â â¦,1
there's a homework? omg. i forgot. damn.... i won't do ist anyway ,0
Depression and Diet: Why the Food You Eat Matters  https://www.nutritionadvance.com/crippling-depression-and-diet/Â â¦,1
The depression epidemic and why the medical profession is failing patients  http://spr.ly/6185Dw0qbÂ ,1
@kate_reuvers Poo to that. Time to move out perhaps? Back to Melbourne? ,0
@SamStreet69 back to the lovely land of the north ,0
"@uwillbeheard yup, from your comp. to the right of the tweet where u fav it, there's a trashcan ",0
"Today God wants us to know thatÂ all emotions grow in size when practiced regularly.Practice love to have more love, practice hate to have more hate. Practice kindness to have more kindness, practice depression to have more depression. The choice is yours as always.",1
@CricketBookie ha! I just won! with 2.62 odds! ,0
still feeling a bit jetlagged...looking forward to soccer &amp; p!nk concert tomorrow ,0
Hey why wasn't that message to me? I'm wearing my peace bracelet too!  represent!,0
turning on the aircondition....blizzard mode time! ,0
@Leeratow23 It doesn't have to be a solo battle when you belive God is with you! Only God can deliver you from depression and give you the peace you need!,1
First day of summer vacation at home with the boy. ,0
My next step to beating this depression is deleting the sad music out my phone. I'm sorry Abel I love you to death but my heart can't take it no more <Emoji: Shushing face>,1
Is just getting of the train in Rochester ... Nice wk end planned  x,0
Nothing special. ,0
"My memes are ironic, my depression is chronic",1
Lol... Yay Teo is followin me.   miss u hon. {{leg squeezes}} http://myloc.me/2lsr,0
"Depression recovery is a long process with ups & downs, but I just said the failure I regret most in my life is never having managed to grow a pineapple plant from a pineapple top & genuinely meant it, so that has to be encouraging",1
@labelladeanna that sounds good to me . girl trippp ,0
I can't believe I'm up this early on a Saturday! (via @jasonmatheson) good morning! ,0
"Psa: if you call someone struggling with depression, anxiety, etc. crazy, you are a piece of crap!!",1
GoodNight Everyone ,0
"@melroseee If people won't even buy knives and vacuums door to door, it can only mean one thing: This recession is now a depression",1
"thinking in how much i love my bff, lulyugly  xooo",0
Best Options For The Depression Treatment #depression  http://bit.ly/2qZsnlCÂ ,1
"just watched &quot;O&quot; cirque du soleil at the bellagio, it was soo amazing! ",0
Woot! Cant wait for sunday ,0
@thewayofcontrol yeah XD Good Idea ,0
Eating at Houstons. Yummy! Then Prom. &amp; hopefully get to see someone tonight! ,0
@emgrant  hey there sorry missed your tweet from Saturday &amp; there are always plenty more fridays  Trip going well but so busy. How are u?,0
In otown for the day ,0
<Emoji: Police cars revolving light>Tickets Still Available!<Emoji: Police cars revolving light>...#mentalhealth #depression #depressionawareness #linkinbioâ¦  https://www.instagram.com/p/Bh_z2bnFQPo/Â ,1
- thread of vines that cured my depression.  pic.twitter.com/9Ak2F5RYOo,1
"Despite all the success & adulation,the demons were never too far from Marvin's door: DRUG ADDICTION, DEPRESSION, two failed marriages, FINANCIAL RUIN and a fateful and tempestuous relationship with his alcoholic, cross dressing preacher father, pushed Marvin closer to the edge",1
@ragdollgonewild No please. Make it Saturday ,0
"Sope AUMin Yoongi is a blind man who once had a passion for music. After his accident, he dropped out university and entered a critical state of depression. He didn't expect for someone, by the name of Jung Hoseok, capable of bringing colour back into his world.  pic.twitter.com/dbEShh6CiA",1
@dougiemcfly Change your name to Michelle. ,0
"@thetechnewsblog, my laptop!  second is my 1st gen touch..",0
"@dnoxon Mine too!  Small world, eh?  ",0
crosstraining outside in this amazing weather ,0
"Mom's depression tied to kids' emotional, intellectual development  http://dlvr.it/QQmx4TÂ  pic.twitter.com/1PpT01a1ig",1
@shannanstedman haha maxxie beat whippet ,0
"@jonnyshare Haha, I like your style ",0
Pinkberry in the city '09!!!!!!!!!! ,0
"Charlize Theron Talks Battle With Depression, Admits She Ate Potato Chips Everywhere To Gain Almost 50 Pounds  http://a.msn.com/07/en-ca/AAwjt3y?ocid=stÂ â¦",1
If you ever want to look as awesome as this...You should treat yourself to one of our tote bags :]Just like @NicoleDivide did!<3We support those with depression by donating 50% of our profits to @MindCharityPlease re-tweet! http://InMusicWeTrust.co.ukÂ  pic.twitter.com/X7qxH7chID,1
Nearly the end of year 8 ! Nearly in year 9 ,0
http://twitpic.com/6b6x1 - 1000 Islands Conservancy Zone. This was part of my Saturday. ,0
"And I guess, I just have to make sacrifices if I want to achieve my dreams. My family is very supportive at least (it's just, I can't stand living with them, as I need my own space and freedom; I feel trapped here). I just hope I can work through the stress and depression.",1
I take meds - the truth about postnatal depression and chronic pain  https://wp.me/p6vH90-DKÂ  #mentalhealth,1
"@sarbjitkaur1 So sad.  Male children are not given the emotional supports needed to develop healthy brain development and suffer anxiety, and depression as a result, studies have shown.  I see it in my own families.  We need 2 parent boys more intentionally and 4 devel of healthy emotions. <Emoji: Pensive face>",1
playing basket with my couisns... ,0
@schadre Get 100 followers a day using www.tweeteradder.com Once you add everyone you are on the train or pay vip ,0
@revstacey I don't know your number! ,0
I don't have the job yet. But hopefully soon. Thanks! @notoriousflirt: @avengelynne Sweet! Congrats! ,0
@caramelflavored hahah the powers of dana ,0
@starwoodhawaii Hawaii is home to the greatest starwood hotels!! ,0
@manicmother what a wonderful Dad he is! ,0
depression hitting hard this morning,1
@OlorinLorien not hungover. Stopped drinking last night as my body said NO!  Still lying in bed - @nicolaherbert making tea and coffee ,0
@DarrenEstes This is only negative if there is a better option for depression patients. 24 is better than 0.,1
@lilvalkrie aiyoh. so pai seh. sudah sudah. dowan to fish for compliments anymore. ,0
"Depression,anxiety and panic attacks are not the signs of weakness....",1
"Hmm, Chocablog seems to be under sustained attack from StumbleUpon... ",0
"Many people have taken a mental health break in their lives, whether for stress, anxiety or depression.  Only the truly SICK-in-the-head individuals would use this mental health break against them, just because they don't agree with their 'opinion'.  https://twitter.com/KimKardashian/status/989220790741553152Â â¦",1
Found out last night that an old friend had bike crash and has broken neck and internal bleeding  Giving nurses hell coz he wants a fag ,0
is so ready to see the new moon trailer ,0
Can Contraceptives Cause Depression?  https://www.drweil.com/health-wellness/body-mind-spirit/mental-health/can-contraceptives-cause-depression/#.WuBtjrUb7JA.twitterÂ â¦,1
@evennieleyland We have two ,0
@ermelbow I too wish I had a snuggie ,0
@xohpanic eat chocolate or just talk with your friends ,0
depression cured  https://twitter.com/baekfiring/status/982638068711616512Â â¦,1
"@TomFelton he'll be okay, he's got you... and his teddy  anyway, tell him all of us tweeps give him our best!",0
In my behaviour we have:-ADD*-ANXIETY*-BRAIN FOG*-DEPRESSION*-IRRITABILITY*-IRRATIONAL ANGER*-ISOLATION*-MEMORY LOSS*-MOOD SWINGS*-NIGHT TERRORS*-PANIC ATTACKS*-SUICIDAL*,1
Off today! No wonder I love Mondays!  Movie theatre....here I come. ,0
@SamPadalecki - Oh ok! Well im still going!! I think everybdy wants Misha back! He was so funny in his talks!! ,0
An equilibrium level of gdp can occur while resources are less than fully employed or are under utilized therefore the grate depression of the 1930s can be seen as a static condition rather than a self correcting transition period,1
@tannwick years ago circa 1983 there was actually a hedghog flavoured crisp ,0
@FlorenceKincaid he was...he said it.look on aftermath's site... ,0
Friday night! ,0
This is so true. Depression especially  https://twitter.com/FranciscoLWhite/status/988758953470431233Â â¦,1
"@LisaMarie110 hahaha, idk. but YAY! we're gonna be roomiess ",0
"@DJLPQUEENS I guess it will be pretty cool music, brazilian flavor mixed with hip hop music..I like the idea! ",0
@ChandraLee thank you for the #FF mention ,0
depression sets in,1
going to the doc and after it to the studio .. flo rida - right round ,0
hope everyone has a fabulous friday and a happy &amp; safe holiday weekend! XOXO SUMMER ,0
Is going to put her head in the gas oven now ,0
Me and @seabee90 are making tacos ,0
haven't been able to sleep at ALL. i think i'll watch Ugly Betty online. ,0
"//Be back in a while,,,? Got hit by a bus of depression",1
Earl's wearing a tie ,0
Let's talk Depression during pregnancy and what to do about it.  https://buff.ly/2HR3BhKÂ  pic.twitter.com/tk8gYq9V0c,1
@mikalaaaaaaaa Weed helps my depression tho <Emoji: Man shrugging (medium skin tone)>,1
new terminator film wasnt too bad actually plus there was some alice in chains in it ,0
"(cont.) I am glad to hear she is bein reloacted to Highland Wildlife Park, hopefully its a more suitible enviroment &amp; she is more at home ",0
I am drinking a lot... trying to forget a very busy week.... ,0
"@powerofpink Just sent a tweet out to follow you, your a great lady ",0
is happy that @lilyroseallen is recording a video for 22 defo my second fave of the its not me its you album ,0
@NipseyHussle For sure! I'm following you now too  Enjoy your night!,0
Ketamine Shows Promise for Fast Relief of Depression  http://ow.ly/oS3m30jxuWuÂ ,1
"The Home Office rejected and rejected and rejected...I entered a phase of total depression...We told them all this in 2014! Why didn't they listen? Sam, 41 years in the UK from Sierra Leone #HostileEnvironment #LegalAid #IndependentReview #migrantvoices https://www.theguardian.com/commentisfree/2018/apr/25/windrush-scandal-immigration-legal-aidÂ â¦",1
#Agoraphobia#Depression#PTSD#Anxiety#SickNotWeakI have had a couple of good days since med change. Getting more bold about going out! I hope me & doc have finally found me a little happiness!<Emoji: Smiling face with smiling eyes> pic.twitter.com/pgR4BAYSIx,1
"@Syrafex Thanks! a couple of wee bits, but not much. I swapped woody allen for a reconstructed Joan of Arc Ladybird book, though ",0
is home with mom today just baked a cake hopefully going to make banana bread  miss you babe xoxox,0
@digijustin yes it has...and one of my best friends is profiting from it... ,0
"@ddlovato, Your Awesome! I love to draw you! I hope you'll ever see it! (: http://twitpic.com/4lvns  I hope you'll come to Holland soon!! ",0
@LisaMei62 That 98% tax for working class is what was talked about to cover Bernie's big ideas during the election. Think that's not possible - FDR did it during the depression - If you want to see what would be result of this plan - search Venezuela economic crisis,1
Knetz are the ones who are stupid lmfao. Bom never did drugs so of course blackjacks will defend her to their graves. How fucking stupid can yall knetz get honestly like how many times do yall need to get told that those were PRESCRIBED MEDICINE FOR HER DEPRESSION,1
"Good morning. haha I just read that the swine flu probably not come`s from pigs at all, but from people! Poor pigs who got all the blame! ",0
"@karinb_za no, luckily not it seems ",0
@lazydays00 congrats on getting accepted to week of 8 ,0
@LenkaMusic won't you share a pic of your awesome hotel room view for your fans on twitter?  can't wait for your concert on monday!,0
"@MissPureGold *Hug..... I simply meant alot of us are sad here, not sure of depression though.",1
4 day work week  then off to Seattle and Vancouver!!,0
@bitchcakesny You are going to blow them away at your reunion. ,0
"&quot;But you're just so cool, run your hand through your hair, absent mindedly making me want you.&quot; - Taylor Swift  ",0
I have post concert depression. @Camila_Cabello and @bazzi we're so good it was unreal <Emoji: Loudly crying face><Emoji: Heavy red heart><Emoji: Love-you gesture (light skin tone)>,1
that stage of emergence from the Depression Crust where u don't have the energy to cook yet but u ARE ready to consume a certain number of protein units instead of all corn chips all the time so u eat like 6 joyless hardboiled eggs per day. amirite ladies,1
depression is slowly crippling me seems only days I leave the house is when I work otherwise im in bed,1
@craig_ireton They should be more emotional!!Men repress emotions more to appear 'masculine' which is super damaging hence gender variation rates in suicide and depression diagnosis x fight me x,1
@ViolaMaths I love that alto clef! If I were a tattoo-getting person I'd totally get inked w/ that. Mind if I use that symbol in my blog? ,0
its deteriorate and beyond for the sake of his own depression theres the idea of him havign...,1
"#millenials are at the greatest risk of #depression through loneliness, according to new research - and difficulty finding a loving #relationship is one of the primary reasons.   https://buff.ly/2JsxD8VÂ  @CambridgeCore pic.twitter.com/sR7DwURDo4",1
"@slytherinbunney I did TONS of research &amp; within the variables (some models not being available in DK yet, for instance) it was the best! ",0
@MonBon_afide OMG so awesome!  You guys will have to tell us all about it ,0
"Just when I thought I'd hit rock bottom watching #JudgeJudy, I have now discovered #BondiRescue on @cbsrealityeu . #DaytimeTV #Depression #Distractions",1
"Mom's depression tied to kids' emotional, intellectual development  https://ift.tt/2HtVZCEÂ ",1
Hey @ashleytisdale how ya doin ? Xoxo ! ,0
@imrananwar i agree sir. ,0
Transparent moment: I sometimes go through spurts to where I struggle to feel any emotion. I oftentimes have to make a conscious effort to feel emotion when I think they should be happening naturally. I read somewhere that this could be a symptom of depression...,1
Hi bethy ,0
is searching someone who cares with ME .. ,0
Battling depression and it's only Wednesday <Emoji: Face with thermometer>,1
Depression sucks,1
"@jbouie Reading his other tweets, he is trying to think positively after getting out of some mild depression/funk.",1
funny how niggas default on contracts and payment ect....and at the end of the day.....i still got paid ,0
"@brother_rat yep, if there's one thing they are fantastic at, it's support. can emphasize enough. and it keeps getting better and better. ",0
how do i cure my depression without pushing me physically or mentally,1
"So i would just like to end all my social media, due to the post depression that Infinity War gave me. Move out (joke onli)",1
I love depression music,1
Can I get some depression with sprinkles?  https://twitter.com/sweetsilktae/status/984874349059551233Â â¦,1
"I've passed alot of feelings (pain, sadness, depression, crying till my last breath) till i've reached to feel nothing. Just nothing, just empty..",1
"I'm at a bar in Roy, WA. What kind of person have I turned into! Don't worry, I'm sober! ",0
first one awake...waiting to lay out on the beach ,0
lol I am so nervous and I 100% know that I'm gonna be rejected but just reading those words is gonna give me some good ol depression,1
