message,label
@sahchandler Welcome back  USGS loves you!,0
@JZ greed ,0
@jddalton Glad you made it home okay. ,0
Depression works very much like this.*minor inconvenience/stressful situation happens*My brain: *banging pots together* DEATH DEATH DEATH DEATH DEATH DEATH!,1
I made my twitter  yeah (L),0
"Sorry for the ~spam~ followers, but it's not really spam you know. It's birthday time, that's all ",0
"@galaxite Oh, just a friend. lol. ;) the same one I referred to last time we talked. ",0
"its my birthday!!!!!!! finally 19, woohooooo!!! ",0
Drove around all night  Fat cop followed us the whole time. Ahhhmayzin.,0
@Rotmush no.. I think it was Ori ,0
@monicafrancesca sending you rainy day love! heres to hoping you dont get too lonely in the booth ,0
@Jennifer_Clark Good morning ,0
@hhavenwood  That response fits perfectly for the &quot;Diva&quot; combo-archetype BTW..,0
"@dylanlscott depression - oh sorry, that's one of the five stages of something else relevant",1
yesterday was sooo much fun!! last night too &lt;3  live long and prosper. happy mothers day! ;),0
@loisyoung92 i think i may have just passed history ,0
Depression nap sounds good..#Sleep #Pandemic #Depression,1
Back to normal for us tomorrow. Procedure done so life returning to normality ,0
"Let's get a little inspirational and deep here I 've gone to therapy for this entire year, got diagnosed with severe depression and anxiety, and finally I don't have to go to therapy anymore, but put aside my problems HERE I AM LIVING AND THRIVING. Talk to someone, it helps.",1
My face is so dry i feel like i'm a walking popsicle stick ,0
@cowboymathu Here we go. A well experienced guy among us ,0
"@EmilyLatka Well if that's the case, then we're both losers!!! ENJOY! http://bit.ly/15AsPx",0
@dysconnection Mike's at the station waiting for me ,0
In the limo going to see George straight!! ,0
i need more excitement in my life. ,0
@Escrove i loveee my SB ,0
Depression and anxiety is eating me out alive during this pandemic,1
@BrittD20 mm...and the money is good ,0
Thoughts on the ascent of the AKP in Turkey in 'The Third Great Depression and rise of the far-right: experiences from Turkey' by Burak GÃ¼rel for the @TheErpi writing in @openDemocracy @stepscentre @nathan_oxley https://www.opendemocracy.net/burak-g-rel/third-great-depression-and-rise-of-far-right-experiences-from-turkeyÂ â¦,1
@RichardHill21 next to the post they sent you there is a star and right under the star is a lil swirly arrow....that arrow is the @ sign ,0
25-04-2018,1
just found a new fav pop band ,0
Is remembering how awesome service was yesterday ,0
I added a video to a @YouTube playlist  http://youtu.be/w9HMbk_-Eeo?aÂ  The Depression Cycle After Infidelity,1
"@NicoleVSanchez Sounds like fun, have a wonderful day ",0
@flegel I'm hurting too ... really lovely seeing you last night!! had a great time ,0
"Just got out of church, ready to eat some fried chicken ",0
"@karenclaunch Bah! Hey, sent you a fb e-mail. ",0
"@Jason_McIntyre Try to map out list of what was lost, and just notes down as you think of them. And breath, of course. ",0
@justine_hughes nooo high on life lol  hows u?,0
someone turn on the shower please!! ,0
@MabelKatz Looks ok now.  only bits and bytes.  clean with Ho'oponopono too?!,0
@glovely  Thx for  the advice! We are just waiting for the Petosin to kick in ,0
@davsot Awesome!  Enjoy the awesomeness of Sennheisers! ,0
Want to advertise on my new site? 5 promo codes a week. That's it! ,0
"@bahree Can't be any worse than those humongous HTC things you used to have. ;)  Besides, no-one ever calls me so it's a moot point. ",0
"@rpisharody I have not used that yet - but if you come to my home, I can sponsor the wifi ",0
@paleenigma CONGRATS TO YOU!  Tho God only knows why you'd want to leave British soil for the USA!  Be careful!   NIN SOON!!!,0
Nice hokkien wedding dinner with mostly hokkien songs.  enjoy,0
@majornelson be safe over there. dont know what i would do without the major ,0
"@pidusd  welcome to BLR ,, out here i have last day's dinner  and today's breakfast at 6 am  ..i even have a word for it Bre-Din ",0
"@shannonweiley hi Shannon! Movies are unrelated to raw, actually.  please go to http://www.barufilms.com for more info about my films.",0
Morning twitterverse ! Just woke up.. Felt a little lethargic.. But up n wide awake now. Gettin ready for 5 hour drive home !  ,0
finds it interesting that a Vespa counts as a motorcycle in Maryland and Florida  AWESOME!!!!,0
I need friends who play Xbox 360 more often  http://bit.ly/16U6kN,0
2 things FWAFA will give me a diploma and depression. But only one of those things will stick to me for the rest of my life...and it isn't the diploma,1
Finished with the interview on &quot;All Points West&quot;; thanks to everyone who tuned in to listen. ,0
Depression/anxiety is being in a constant state of remembering that embarrassing thing you did five years ago.,1
@Running5k2day especially right b4 vacation! ,0
yeahhh Orlando  &amp; naw Lakers won't stop them either. via NBA on http://www.tnt.tv/sports/nba/playoffs09,0
"Okay, away for a shower now. I'll show you guys my new doo when I'm home. ",0
"The only indie genres are Puzzle and Depression, fight me(Don't fight me I'm goofin)",1
Great to record interview with @LomasChar yesterday for @SkyNews & discuss our research in @AmJPsychiatry showing protective effects of PA from depression in our international study  https://ajp.psychiatryonline.org/toc/ajp/0/0#/doi/full/10.1176/appi.ajp.2018.17111194Â â¦ @exerciseworks @NIHRMaudsleyBRC @MindCharity @Sport_England @KingsIoPPN https://twitter.com/skynews/status/989149289833271296Â â¦,1
Watching the steam trains go back and forth in Ravenglass - sunny! ,0
@WoWDawgs As long as the diarhea is gone...  Sure.,0
Good Morning Beautiful Tweeties! How is everyone this morning? DIY day here for me! ,0
"No Dio, but Mother F**king Tim Curry instead  http://bit.ly/hmV5F",0
@shooop got 'decisions' on repeat now ,0
When depression is hitting you hard and you're just crying at school and alone and not knowing what to do <Emoji: Sleepy face>,1
@SportsInferno Go Wings!!!!!!  Only 4 more hours till game time   http://datsyuk.blogspot.com,0
"MSN just went BLAAAAAAH! meh, thats why I like Skype better ",0
@15mab Tnx I'm glad u like the cover  I just uploaded my new song &quot;De Ti&quot; let me know what u think http://bit.ly/fYy2U ....love Dalila,0
"craziest thing about depression and anxiety is that i always think that i've hit rock bottom and that shit couldnt get worse, but today i turned down a costco churro cause i was sad, then cried about not eating the churro, and i realized that this is DEFINITELY rock bottom (until it isnt)",1
NIGHT babies. Got a VH1 thing in the am  Check out my pics! http://twitpic.com/2y57u http://twitpic.com/2xzl1 http://twitpic.com/2y5s2,0
@ChynaDoll74 Good morning to you too ,0
"@shamim86 I don't doubt it. Yeah gig was real good, out in the Sydney suburbs, was fun ",0
@valagnew yeah! Lets write it up now lol ,0
Could 'one puff' of cannabis ease depression?  https://www.medicalnewstoday.com/articles/321589.php?utm_source=dlvr.it&utm_medium=twitterÂ â¦,1
@Lairosiel  Forgot my eyepatch  How are you?,0
@pranaydewan Yes. First!!! But definitely not the last. It was the Creme variant not the plain original one ,0
@AdamSevani really? sweet! Can i get a reply from you then because ily? ,0
@shelby_says ha ha funny ,0
anyway can you believe Hyolyn really cured my depression just like that? Queen,1
"@Bern_morley Oh, and thanks a bunch munchkin ",0
"I just feel like crying, when I see all the new movies I GOT!!! Yes..oh yeah ",0
"DOing study and uni project, 1 semester to go ",0
i'm submitting my site into directories and also listening to Natasha Bedingfield Un written ,0
"That's the thing about depression: A human being can survive almost anything, as long as she sees the...  https://tmblr.co/ZaYZ3y2XOtPSVÂ ",1
Please depression disappear. This shit haunts me daily. My dreams have been really nice they just never materialize. Just fear & sad emotions rule my mind. Sorry but this is where I vent. I know I'm a loser but hey things could change. I hope & pray for it to happen foe me,1
on my way to boracay in a few minutes ,0
"I brought my favourite vanilla cookies from ikea, got a pack of candies for my baby. ",0
gotta go wake up antwon.. she fell asleep on the coutchh... then its off to bed ,0
@feginem Lmao I'll try and stop by  Am visiting everyone tomorrow ,0
More like Depression*  https://twitter.com/avengers/status/988576000349896704Â â¦,1
can i just post this picture everyday please it helps ease away my depression due to this pandemic  pic.twitter.com/mJfLaJOcDw,1
Kudos to Michael Phelps for breaking the stigma around talking about depression & suicide:  https://www.cbsnews.com/news/michael-phelps-reveals-he-suffered-from-depression-thought-about-killing-himself-after-olympics/?ftag=CNM-00-10aac3aÂ â¦,1
@hadiqazeeshan Yep..he is ,0
@Spingere I'm willing to entertain all offers! ,0
Going up north for the weekend :[ but on the brightside..I'm going to dance my ass off at the wedding ,0
"Hello my Tweetamigos, I have a new video up  http://bit.ly/19D2Z0",0
all sorts of anxiety and depression are meeting each other hahaha,1
Good Morning Everyone ,0
"@Timberwolf123 yes, I'm srry 2, Rae went down late! Hugs to u and Heidi! Nite! ",0
 Well we have 2 new colts. I'll be posting them on our MySpace and Website join us on MySpace http://tinyurl.com/cnyn7l,0
"'Depression symptoms, having to travel outside the respondents' community to give birth, and being born in an East Asian country were associated with lower levels of satisfaction.'",1
@Maiyab Am checking out your Blip playlist now! I'm sure you'd make a great store though - while earning real kudos &amp; legal free music ,0
"wtf the weather is weird it was full raining second ago and now its sunny,gahh i have the best week planned ",0
oh what a beautiful dayyyyy ,0
Miley Stevens - Waterhouse is at Jhy's house  http://apps.facebook.com/catbook/profile/view/6402509,0
@k_hack I'll have the EP artwork for you tomorrow. ,0
It's so crazy to see the weight Meek put on in prison in comparison to Gucci coming out ripped af. Depression and anxiety is real.,1
"Hey #JonasOnUstream,  well first off you guys are amazing   (Jonas Brothers live &gt; http://ustre.am/2us4)",0
Recommendations on how to deal with depression during this pandemic? Any methods anyone can share?,1
"@mbolden LOL, yeah that Tweet got cut off. Premature Tweets happen to the best of us ",0
#dnd #ddi #rpga WotC forums just went down for weekly maintenance.  Stay tuned.  ,0
i spy with my little eye something beginning with &quot;M&quot; hint im in living room! get your guesses in ,0
Depression. Everybody I know is suffering from anxiety and depression. What a great life!,1
@cM5y_fawkes Your house is famous! didn't you know? ;D I'm guessing it's because everyone's practically familiar with your house. ,0
Seventeen sleeps til #NXNE holds this city hostage. Let's make the most of 4am curfiew &amp; banish TO's puritanical Victorian lameo past ,0
how to remove somebody else's depression and anxiety. help <Emoji: Pensive face>,1
Mark Twain Motivational Poster - a nice twist to a common theme  - http://is.gd/MqNW,0
@KatieATL goodniiight! ,0
"Well.... like 30 seconds of vibes, not thinking much to that twt.fm lark ",0
@heineken_il when will be the first beer prize here? need my address? ,0
when ur shitty depression is back. GREAT :D #Pandemic #Lockdown #Anxiety #Depression,1
Depression real deal hits yo ass outta nowhere. It can sometimes come mid laugh when you wit yo friends. Or when you In the middle of writing notes in class. That shit sucks son.,1
the new album drops soon...you better be getting excited ,0
"wow imagine me without time management and concentration issues, minor anxiety, self diagnosed depression, and depleting heath problems from unhealthy eating habits during this lockdown�.I would have been thriving! <Emoji: Relieved face>",1
"He said yes guys, I'm now engaged. ",0
The Hangover!! &amp; movie popcorn of course ,0
"Is trying to get his sleep crud together. too late of a bedtime, especially without the usual movietime nap ",0
"@TwilightFilmz Not too sure but there was a message on his Facebook asking people with depression to talk to someone etc, so a sad story it seems.",1
@AtomicLola AWESOME!  I'm glad you liked it!  I'm so jealous!  ,0
"For the next 6-months, I'm married to an &quot;older man.&quot;  Happy Birthday, Jeremy!  ",0
"@honoretIy no not really, I mean ya know depression a bitch but nah life good, got a job, a man, friends, family, a dog and cat, grades are good. im great",1
Anxiety and depression always been  a thing its just that in this time people are starting to be more open,1
"Watching a movie whilst eating dinner, celebrating our good marks  We enjoy spending some extra time with the children",0
It's amazing the weather is still so hot! Loving it!! ,0
National #Suicide Hotline: 1-800-273-8255 (#Logic Live At The #MTV VMAs / 2017) #MentalHealth #Depression #BipolarBrave #Pandemic,1
@nere13 Heya  I'm fine thanks  wuu2 today? xxx,0
"@lindutt 'Tabor Goes To Heavens' looks interesting, as does 'Turkish Gambit'. Lot's of Russian movies to explore. ",0
@sincerelyyou oh good I'm glad and mine was very delishhhh thanks for asking lol ,0
DON'T GET SCARED. DON'T GET NERVOUS. DON'T GET MAD. JUST GET USE TO IT CAUSE ITS HERE AND ITS NOT GOING ANYWHERE! ,0
Depression is come up dude .... I legit have suicide thoughts now pandemic hit me hard <Emoji: Slightly smiling face>,1
Post concert depression is a thing and it is a thing that I am experiencing very strongly.,1
Sushi-time! cant go wrong with that ,0
If the wizards and Cavs lose I'll spiral down into a crippling depression,1
is rebooting relic and hoping to 'see' @vmadly b/f going face down.  :p  It's been a loooong wonderful weekend.  ,0
@oliverwalton i know im not normally on here but il though il be cool and see what is happening on the world of twitter ,0
@xKAYAKx Well done to you too ,0
@benjaminws glad ya liked it. I think of it as a Blue Moon that's acceptable for dudes ,0
&quot;Daddy&quot; bought me an air conditioner! ,0
@ElvenstarArt Great !!! Your book looks fantastic ? I want it ,0
@ClothCoutureLLC i guess i should specify... my kids need news ones... not me!  ,0
"Mom's depression tied to kids' emotional, intellectual development  https://ift.tt/2HtVZCEÂ ",1
Good nite everyone sweet dreams ,0
"Feet and back are starting to hurt, wish I could walk around the track while sleepi ng in my bed ",0
@ShanShanKiss  lol dats a job we need to get workin on get all djs from kiss 98.5 on twitter!! ,0
@Lefreak78 Don't look this way Jimmy   I think I will be the last hold out.  Brad could easily find me based on what he knows - he won't.,0
"@JonathanGiles don't reveal all your tricks, you're ruining the magic ! you're no david blaine yet  (got any magicians in NZ ? ",0
Just had an awesome Sunday evening out  cider and curry= nom ,0
ready to get off and par-tay!!!!!! ,0
@kierij_ WOW you just have a sample of depression that's all <Emoji: Face with tears of joy>,1
"@calvertdrivein g'night, Steve! get some rest! ",0
is there a surgery to fix my depression? Can someone magically make this horrible pandemic disappear?,1
@antq_twit aw thankyou  x,0
"@marsroverdriver @VeronicaMcG check MER's Facebook, there's another idea  for getting Spirit out ",0
"Big shoutout to depression and anxiety for being there when no one was :,)",1
@MrJoatmon You're very welcome  Where are you trying to move to?,0
Pokemon &amp; then mimis! ,0
thank god for @minimcbooom and the dashboard on mac comps ,0
@richardquest I might go shopping and eat out. Weekends are a great time to do that. ,0
im sorry but that's truly just not the case at all. mental health is different for every person but if you do your damn research you would know that homicidal tendencies do not relate to depression in any way,1
@oOshiningsunOo The wages (aka conciquences) of sin is death not hell (Rom 6:23) and furhermore I don't consider sucide a sin anyway (at least in the context of stuff like depression) its a tragic side effect of illness,1
"Remedy Drive Concert was AMAZING!!!! Phil, Dave, Dan, and Paul are so incredibly nice and talented!!! Thanks for signing my shirt!! ",0
This emotion stuff is so human!    Love and accept yourself exactly as you are.,0
Handmaids Tale tonight! Going <Emoji: Airplane departure><Emoji: Airplane> depression,1
sitting here trying to remember what i was gonna do ,0
"quincenera Satruday night - Mega Show in Clute,Tx on 6/20 - Live in Bnet studios 6/20 - In studio on next cd project... good times ",0
"@BlueeLuong hey, it's all facts. AHA. But yeah, we should drink together someday when you come up here in the bay ",0
"Things are different this month - your girls losing weight, skin is glowing, I'm taking heads on fortnite, I have a job interview tomorrow, depression isn't glooming over my shoulder  pic.twitter.com/8PnyKwpJqA",1
@shanee21 I like the way it wrks ,0
Is it me or is the world going through a collective existential depression? #pandemic,1
anxiety: but what if u dieddepression: that's neat me:  pic.twitter.com/tU7pKvkYvL,1
@mackmaine i got a midget friend &amp;&amp; her ass soft; will u break that off lmao ,0
"@Lykakakaka OMG LYKS HAHAHAHAHA but she has depression, so I feel guilty hating her <Emoji: Disappointed face><Emoji: Face with tears of joy>",1
Today did Power Yoga at 7am at the sky bar. Good start for a sunday ,0
"@toysrevil your astrodude is in the post man, let me know when he arrives  What WWR pieces do you have BTW?",0
Franco made breakfast for Mom. Here he's trying to cut the strawberries (only safe knife  #fb http://twitpic.com/4wsmw,0
I liked a @YouTube video  http://youtu.be/kSvJDeXnwXc?aÂ  Mensutra on Kapil Sharma's Depression and Phone Call Controversy!,1
"@andrewkfromaz Thanks dear, I know this, but I appreciate the validation as always ",0
"@DJSkreamallpro -- yayy u laughed  i put the pictures on myspace, but i dnt have u as a friend ",0
Every time I think my depression is going away for good I look at Twitter and am immediately brought right back,1
@elsekramer  Yeah the spammers are discriminating: none of the females  are part of the target group apparently ,0
@SWeeTKiTTie Thanx  dats our newest song i appreciate u listen 2 it 4 me 2,0
"@Padmasree Yes, but there can be no execution if there is no vision to start with ",0
"@stnlae Jamie you mean a lot to a lot of people, there are undoubtedly people who want you around, people who genuinely enjoy your presence. Its just depression trying to convince you otherwise",1
shoutout to depression for hitting me during this pandemic like a brick you're a true one honestly can always count on you to make me in a shit mood,1
"@boborama lol Bob, well that's a good thing to worry about! Wish I could make it down  Will do one day!",0
@breatheagain Things are good. Trying to get LoveBetterCamp.com up and running. Hotwings in the oven ,0
@karmamars Lol. So do I  thanks man!,0
Happy mothers day tu all moms out there  !!,0
@Wossy Does this mean that you will only be able  to fly in a circle now! ,0
@martinadas hi lovely  you can pass this original photo? is so beeeautifuul *-* kisses. http://twitpic.com/5rnwz,0
My friends made me join twitter.. so here i am  hows everyones day so far?,0
@Britty0314 4 a movie? Jeans for sure! ,0
@pillowfort by depression removing all self restraint and long-term planning due to the inability to picture a future beyond whats directly in front of you,1
#followfriday quickie! @brightondoll @adrienne_daniel @Steffisticated @drewy88 and obviously @OFFICIALGOD ,0
"All day Im at home and Im studying...soo fuckin' boring,but tomorrow will be fun!go to bed now - good night everyone - ttyl  x0x0",0
"been keeping my room organized, keeping up a consistent skincare routine, biked home 11 miles yesterday from work, eating vegan yogurt & granola...seasonal depression is over <Emoji: Loudly crying face>",1
"@Lisa_Veronica 5more votes and you'll pass tawnyheath  Voted every20mins for 2days,com. sartin to lagg lol, but i think its worth  xox&lt;3",0
@weirduncledave true.  You can live a lifetime in a weekend and still make it back for work on monday. I'm going to Atlantis after this. ,0
@30SECONDSTOMARS Sweet dreams! ,0
@chicardo hope you will like it ,0
"is loving Look How I'm Doing, Heidi Montags new song  can't wait for the album Heidi!",0
"4 shows / speaking engagements in the next 3 days. Busy, busy, busy. South Bend - IN, Clio - MI and Warren - MI here I come! ",0
"Day 1: admitting the problemYou can't exactly help or recovery from something if you dont admit to it being a problem in the first place. I have a problem with depression and anxiety, i need professional help with it.From now on I plan to work towards that.",1
@MrsJellySantos They trip me out. Especially the ones that recovered from situational depression and speak out on mental illness as if there aren't many more severe illnesses,1
 and hug@ladypn: &quot;Is there a waiting line to get into Club Blip? ;) &quot; ? http://blip.fm/~7d2a5,0
@TheFairest aww dont hurt me lol and wow are they done already i love yellow rice send me a pic of the dish ,0
@tourscotland ... got it ... you must be rechargeable ,0
you know what I fuckin love. julz will NOT find NO BITCH greater then me! on some real shit. every othr female out there is WEAK as fuck ,0
"Oh look, I got it connected with my blog. Proud of me, guys? ",0
@GADataGuy You too have a great day ,0
Did you know there is more than one type of Depression? Take a Read and Share the Blog to Raise Awareness!  https://cureup.org/story/different-types-of-depression/Â â¦,1
Can't wait for bali this wed!! ,0
@devanwillemburg ping San ? Really? Hakka? ,0
"@crystalbutterfl Ah, well, lucid or not, least I was there ",0
watching donnie darko for the first time...love it ,0
@cloroks about damn time! lol  can't wait dear. Hear anything about Ky yet?,0
@mjbnz exactly! I want to try with custurd soon and purhaps pastry ,0
I &lt;3 memory foam ,0
Hey! I just want to say hi and thank you to all new followers that I got in the past few days! What's up? ,0
@JustinMGaston  wooo ninjas rock ,0
"@KendellRenee Hello Kendell. I'm having fun on twitter, like you are! Have a wonderful #followfriday Friday ",0
"every time I see that Jessica Alba girl, I think of &quot;Honey&quot;. I know she's done better, but thats what comes to mind. that and Dark Angel. ",0
@rwanderman yes of course you get to choose. ,0
"@ayanatheoracle @smallkewlhuman I'm glad you think that by quoting or telling me about someone doing research is going to be best for me. DEPRESSION IS DIFFERENT FOR EVERYONE. I don't know how hard that is to grasp. Just because  YOU THINK someone should handle depression your way, will not always work for them",1
had a good supper with the family tonight. ,0
Done w the pool...got some of my color bac...but ill be workin on that more next week  chillin for a lil then hittin up the gym! Day 3,0
Drivin in the valley is easy at 3am ,0
Watching made of honor and baby sitting my baby girl ,0
Happy Star Wars day everyone ,0
hmmmm..What are you doing?...im singing a very awesome song  and ima go see a movie called...TERMINATOR SALVATION!!!!!!! OH YEA! BITCH! xD,0
I am almost completely soullessI am incapable of being humanI am incapable of being inhumanI am living uncontrollablyIt should be called the anti-depressionAs a friend of mine suggestedBecause it's not the sadness that hurts youIt's the brain's reaction against it,1
@kirstiealley promise me that one of this days (soon) u will make a movie ,0
"on the bed with matt, if he can be on a laptop then so can i ",0
@SaharaDamore in the silence is the best place to start. The silence holds the truth ,0
"@bruno_the_kid failure yesterday  sorry, ahaha",0
getting ready to go to the movies with Mike ,0
Happy 5 months babe!(: I love you so much and you make me the HAPPIEST girl in the ENTIRE world. ,0
hi @LoriBlue4508  ! I would suggest music of my electro project *** http://bit.ly/12KoF0 *** free download &amp; have fun  cheers,0
@YoungQ  My hands up here!! I love it too ,0
@capecodgurl and sorry again for spamming...having trouble mashing out multisyllabic words with my hate fingers ,0
Im gonna get otta  this depression #infinitywar #Depression #Lockdown,1
I hope you get put away I hope you fuckin die in there. ,0
@etrangle http://twitpic.com/3l8mv - Mysha &amp; Myreen are so cute... ,0
out! i'm having dinner. ,0
"being pan, having gay friends, leaning to the leftist side of politics, being medicated for depression, showin my face without makeup.......do yall think itll do",1
@_robin_sharma http://twitpic.com/3ovto - This is before or after selling your Ferrari? ,0
"i have spent the last YEAR of my life researching the effects of hostile immigration policy on children's mental health. anxiety, depression, trauma, etc. have all increased since the 2016 election in CHILDREN.",1
@ItsNeet nico is still irritating... hehe we just gotta keep calm and smooth ,0
@NotoriousTIMP you should see Up ,0
watching NCIS. Is it the grey hair that makes Mark Harmon so attractive? I think so. ,0
"@benjaminbirdsng -- Hey Ben, Its David Berrys daughter Breana from South Boston! Keep in touch!  Love you guys! Yall did great.",0
"@BeauEurell yeah I know.  and DESPITE gov't sayin it's gamblin.. it only has a small element of gambling,rest is ability to read and play",0
 smiling.everyone should try it.,0
@writethevision Hey Adrienne! I hope u &amp; ur sis had quality time yesterday. Reading my *signed* copy of &quot;Breakthrough&quot; asap! ,0
Going to bed. Night guys! ,0
@disruptiveplay haha. tweeros more like it. send us pics/quotes ,0
"@AROD5005 Thank u for the well wishes in regards to my day at the beach. We had a great time, and I got  several shades darker ",0
I MISS MY TWITTER !!!! SOOO MUCH !!! By the way... hello everyone ,0
"Great shot, good outfit, esp. the tights are really cool!  http://lookbook.nu/look/160540",0
@ submercer enjoying my favorite kind of drink...a free one ,0
@garyhills Bon voyage - and cheers ,0
"In our Asian community, it's now become highly imperative that we raise awareness about anxiety and depression. I'm sick of people brushing this topic as if it's nothing.",1
recovered from camping rave at last! Bank holiday ,0
"@nailbiter2  you'd have to change your baby anyway, right?  it's probably easier than you think!  #clothdiapers",0
 Spent the last two days at 2% and couldn't sleep. I think I would have lost my mind without the internet especially during this pandemic. The boredom/frustration/depression of stsring at the ceiling thinking of all the things I should be doing...,1
Time to get a few things done while kiddies arestill asleep. Take care one and all. Hugs filled with love.. x  o  ,0
